date,algo_id,total_pnl,trades_count,wins,losses
2024-09-27 00:00:00,algo1,200.0,1,1,0
2025-02-18 00:00:00,algo1,200.0,1,1,0
2024-09-06 00:00:00,algo1,-200.0,1,0,1
2025-01-09 00:00:00,algo1,200.0,1,1,0
2025-01-14 00:00:00,algo1,200.0,1,1,0
2024-07-12 00:00:00,algo1,-200.0,1,0,1
2025-05-12 00:00:00,algo1,-200.0,1,0,1
2024-06-07 00:00:00,algo1,-200.0,1,0,1
2024-06-11 00:00:00,algo2,3800.0,1,1,0
2024-01-04 00:00:00,algo2,3800.0,1,1,0
2024-07-09 00:00:00,algo2,3800.0,1,1,0
2024-05-24 00:00:00,algo2,3800.0,1,1,0
2024-04-02 00:00:00,algo2,3800.0,1,1,0
2024-05-02 00:00:00,algo2,3800.0,1,1,0
2024-01-03 00:00:00,algo2,3800.0,1,1,0
2024-09-25 00:00:00,algo2,3800.0,1,1,0
2025-01-16 00:00:00,algo2,3800.0,1,1,0
2024-06-26 00:00:00,algo2,3800.0,1,1,0
2024-10-23 00:00:00,algo2,3800.0,1,1,0
2024-02-20 00:00:00,algo2,3800.0,1,1,0
2024-05-29 00:00:00,algo2,3800.0,1,1,0
2024-04-10 00:00:00,algo2,3800.0,1,1,0
2024-04-05 00:00:00,algo2,3800.0,1,1,0
2025-05-19 00:00:00,algo2,3800.0,1,1,0
2025-03-28 00:00:00,algo2,3800.0,1,1,0
2025-01-07 00:00:00,algo2,3800.0,1,1,0
2024-03-04 00:00:00,algo2,3800.0,1,1,0
2024-03-15 00:00:00,algo2,3800.0,1,1,0
2024-09-17 00:00:00,algo2,3800.0,1,1,0
2024-10-30 00:00:00,algo2,3800.0,1,1,0
2024-11-08 00:00:00,algo2,3800.0,1,1,0
2024-07-08 00:00:00,algo2,3800.0,1,1,0
2024-11-26 00:00:00,algo2,3800.0,1,1,0
2024-07-11 00:00:00,algo2,3800.0,1,1,0
2025-02-05 00:00:00,algo2,3800.0,1,1,0
2024-02-29 00:00:00,algo2,3800.0,1,1,0
2024-10-11 00:00:00,algo2,3800.0,1,1,0
2024-10-14 00:00:00,algo2,3800.0,1,1,0
2024-12-06 00:00:00,algo2,3800.0,1,1,0
2025-05-09 00:00:00,algo2,3800.0,1,1,0
2025-01-17 00:00:00,algo2,3800.0,1,1,0
2024-12-03 00:00:00,algo2,3800.0,1,1,0
2024-10-31 00:00:00,algo2,3800.0,1,1,0
2024-06-14 00:00:00,algo2,3800.0,1,1,0
2025-05-16 00:00:00,algo2,3800.0,1,1,0
2024-08-20 00:00:00,algo2,3800.0,1,1,0
2025-03-04 00:00:00,algo2,3800.0,1,1,0
2024-07-04 00:00:00,algo2,3800.0,1,1,0
2024-02-16 00:00:00,algo2,3800.0,1,1,0
2024-08-19 00:00:00,algo2,3800.0,1,1,0
2024-10-01 00:00:00,algo2,3800.0,1,1,0
2024-02-09 00:00:00,algo2,3800.0,1,1,0
2025-04-30 00:00:00,algo2,3800.0,1,1,0
2025-01-30 00:00:00,algo2,3800.0,1,1,0
2024-12-16 00:00:00,algo2,3800.0,1,1,0
2024-12-10 00:00:00,algo2,3800.0,1,1,0
2025-01-20 00:00:00,algo2,3800.0,1,1,0
2024-01-10 00:00:00,algo2,3800.0,1,1,0
2024-08-27 00:00:00,algo2,3800.0,1,1,0
2024-03-11 00:00:00,algo2,-10200.0,1,0,1
2024-05-31 00:00:00,algo2,3800.0,1,1,0
2025-01-29 00:00:00,algo2,3800.0,1,1,0
2024-04-01 00:00:00,algo2,3800.0,1,1,0
2024-07-01 00:00:00,algo2,3800.0,1,1,0
2024-07-24 00:00:00,algo2,3800.0,1,1,0
2024-02-06 00:00:00,algo2,3800.0,1,1,0
2024-07-16 00:00:00,algo2,3800.0,1,1,0
2024-10-16 00:00:00,algo2,3800.0,1,1,0
2024-05-22 00:00:00,algo2,3800.0,1,1,0
2024-01-16 00:00:00,algo2,3800.0,1,1,0
2024-12-31 00:00:00,algo2,3800.0,1,1,0
2025-02-06 00:00:00,algo2,3800.0,1,1,0
